Designator,Footprint,Quantity,Value,LCSC Part #
"C101, C103, C105, C201, C202, C401",0603,6,100n,C57112
"C102, C104",0805,2,1uF,C28323
"C203, C204",0603,2,20p,C1648
"D101, D102",0603,2,LED,C2286
"D401, D402",D_SOD-123,2,B5819W,C8598
J201,PinHeader_1x02_P2.54mm_Horizontal,1,TERM,
J302,HRS_DM3CS-SF,1,DM3CS-SF,
J401,JST-PH-1x02-Horizontal,1,SSR,C173752
J402,JST-PH-1x02-Horizontal,1,CAN,C173752
J403,JST-PH-1x03-Horizontal,1,ANA,C157929
J404,JST-PH-1x02-Horizontal,1,PWR,C173752
J405,48x48 Module,1,Conn_02x14_Odd_Even,
J406,PinHeader_1x03_P2.54mm_Horizontal,1,A1-SEL,
J407,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB C,C165948
"R101, R102, R201, R401, R405",0603,5,10k,C25804
R202,0603,1,120,C22787
"R402, R403, R404, R406, R408, R409",0603,6,5.1k,0603
R407,0603,1,330,C23138
U101,LQFP-32_7x7mm_P0.8mm,1,STM32G030K6Tx,C724043
U102,SOT-223-3_TabPin2,1,AMS1117-3.3,C6186
U201,SOIC-8_3.9x4.9mm_P1.27mm,1,SN65HVD230,C12084
U202,SOIC-14_3.9x8.7mm_P1.27mm,1,MCP2518FD,C626758
U401,SOP-4_3.8x4.1mm_P2.54mm,1,KAQY214,C113331
U402,SOIC-8_3.9x4.9mm_P1.27mm,1,CH340N,C2977777
Y201,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,40MHz,C9010
