Designator,Mid X,Mid Y,Rotation,Layer
C101,106.67,-96.17,270.0,top
C102,108.16,-113.33,0.0,top
C103,105.6,-112.81,90.0,top
C104,114.7,-122.1,0.0,top
C105,114.5,-120.25,0.0,top
C201,95.84,-116.16,0.0,top
C202,88.55,-108.81,0.0,top
C203,101.75,-112.45,180.0,top
C204,101.57,-106.44,0.0,top
C401,109.22,-103.04,90.0,top
D101,105.8125,-87.935,0.0,top
D102,116.83,-115.32,90.0,top
D401,103.15,-116.86,180.0,top
D402,112.41,-111.34,0.0,top
J201,96.275,-119.51,270.0,top
J302,115.8,-91.38,90.0,top
J401,112.0,-80.0,180.0,top
J402,87.0,-120.0,0.0,top
J403,92.0,-80.0,180.0,top
J404,101.0,-120.0,0.0,top
J405,100.0,-100.0,270.0,top
J406,98.475,-79.965,90.0,top
J407,121.5,-107.5,90.0,top
R101,105.775,-89.565,180.0,top
R102,114.98,-115.357501,270.0,top
R201,92.74,-116.17,180.0,top
R202,83.87,-116.02,0.0,top
R401,88.425,-82.78,180.0,top
R402,88.425,-84.38,0.0,top
R403,88.425,-85.98,0.0,top
R404,91.79,-82.78,180.0,top
R405,91.79,-85.98,0.0,top
R406,91.79,-84.38,180.0,top
R407,97.53,-87.55,0.0,top
R408,119.68,-114.51,270.0,top
R409,121.34,-114.51,270.0,top
U101,100.0,-95.0,180.0,top
U102,109.3,-118.9,270.0,top
U201,88.39,-113.52,270.0,top
U202,95.18,-110.73,180.0,top
U401,99.77,-84.33,0.0,top
U402,110.575,-107.3,180.0,top
Y201,101.68,-109.47,90.0,top
